POCO,OPERADOR,ESTADO,BACIA,CAMPO,TERRA_MAR,CATEGORIA,SITUACAO,CONCLUSAO,TITULARIDADE
3-LPB-3-ES,Petrobras,ES,Espírito Santo,LAGOA PIABANHA,T,Extensão,DEVOLVIDO,11/16/84 0:00,Público
7-MA-11-ES,Petrobras,ES,Espírito Santo,MARIRICU,T,Desenvolvimento,DEVOLVIDO,11/14/84 0:00,Público
3-LPB-4-ES,Petrobras,ES,Espírito Santo,LAGOA PIABANHA,T,Extensão,DEVOLVIDO,12/23/84 0:00,Público
7-LPN-15-ES,Petrobras,ES,Espírito Santo,LAGOA PARDA NORTE,T,Desenvolvimento,DEVOLVIDO,12/24/84 0:00,Público
1-NO-1-ES,Petrobras,ES,Espírito Santo,NATIVO OESTE,T,Pioneiro,DEVOLVIDO,2/14/68 0:00,Público
3-SZ-5-SE,Petrobras,SE,Sergipe,SIRIRIZINHO,T,Extensão,DEVOLVIDO,1/6/68 0:00,Público
3-SZ-8-SE,Petrobras,SE,Sergipe,SIRIRIZINHO,T,Extensão,DEVOLVIDO,1/19/68 0:00,Público
3-SZ-9-SE,Petrobras,SE,Sergipe,SIRIRIZINHO,T,Extensão,ABANDONADO PERMANENTEMENTE,1/28/68 0:00,Público
3-SZ-11-SE,Petrobras,SE,Sergipe,SIRIRIZINHO,T,Extensão,ARRASADO,2/17/68 0:00,Público
7-RO-26-SE,Petrobras,SE,Sergipe,RIACHUELO,T,Desenvolvimento,ARRASADO,3/5/68 0:00,Público
5-CPB-5-SE,Petrobras,SE,Sergipe,CARMÓPOLIS,T,Jazida Mais Rasa,ABANDONADO PERMANENTEMENTE,5/10/68 0:00,Público
7-AG-218-BA,Petrobras,BA,Recôncavo,ÁGUA GRANDE,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,8/20/68 0:00,Público
1-LE-1-BA,Petrobras,BA,Recôncavo,LEODÓRIO,T,Pioneiro,ABANDONADO PERMANENTEMENTE,10/29/68 0:00,Público
7-SC-18D-BA,Petrobras,BA,Recôncavo,SOCORRO,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,4/27/08 0:00,Público
7-BSU-13P-BA,Petrobras,BA,Recôncavo,BONSUCESSO,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,5/31/08 0:00,Público
